MAX,MIN,STATUS
0.3138,-0.353,1
0.1961,-0.2354,1
0.3138,-0.3138,1
0.1569,-0.1961,1
0.1961,-0.2354,1
0.2354,-0.353,1
0.2746,-0.3923,1
0.3138,-0.2746,1
0.3138,-0.3923,1
0.2354,-0.2746,1
0.4707,-0.3138,1
0.1569,-0.2746,1
0.3138,-0.1961,1
0.2354,-0.2354,1
0.2354,-0.4707,1
0.1569,-0.5492,1
0.353,-0.3138,1
0.3923,-0.353,1
0.2746,-0.353,1
0.1961,-0.2354,1
0.353,-0.2354,1
0.1177,-0.2354,1
0.0392,-0.2354,1
0.3138,-0.3923,1
0.1961,-0.4315,1
0.1961,-0.353,1
0.353,-0.3923,1
0.353,-0.353,1
0.2354,-0.353,1
0.1177,-0.2354,1
0.1569,-0.2746,1
0.1569,-0.2746,1
0.2354,-0.3923,1
0.4315,-0.4707,1
0.2746,-0.3923,1
0.2354,-0.3138,1
0.3923,-0.3138,1
0.1961,-0.353,1
0.3138,-0.2746,1
0.1961,-0.353,1
0.1961,-0.3138,1
0.4315,-0.3923,1
0.353,-0.3923,1
0.1569,-0.2354,1
0.1177,-0.2354,1
0.1569,-0.4315,1
0.2746,-0.353,1
0.2354,-0.2746,1
0.3138,-0.3138,1
0.1569,-0.2354,1
0.1569,-0.2354,1
0.2354,-0.2354,1
0.2746,-0.3923,1
0.2354,-0.353,1
0.2746,-0.3923,1
0.1569,-0.3138,1
0.353,-0.3138,1
0.1961,-0.353,1
0.1961,-0.2354,1
0.1961,-0.353,1
0.5099,-0.9022,2
0.5491,-1.2945,2
0.2746,-0.9022,2
1.5298,-1.4122,2
0.3922,-0.8238,2
0.6668,-1.4906,2
1.0199,-0.7846,2
1.0199,-0.863,2
0.9414,-0.9022,2
1.216,-0.7846,2
0.4707,-1.4906,2
0.5884,-0.8238,2
1.3337,-0.9022,2
0.6276,-0.9415,2
0.6276,-0.5492,2
0.6276,-1.1376,2
0.9022,-0.8238,2
1.0591,-0.5492,2
0.4707,-0.8238,2
0.9414,-0.6669,2
0.6668,-1.4906,2
0.5099,-0.7846,2
0.6276,-0.8238,2
0.7061,-0.863,2
0.6668,-0.6669,2
0.7845,-1.2161,2
1.4906,-1.0199,2
0.7453,-0.4315,2
1.0591,-0.9022,2
0.863,-1.4514,2
0.5491,-0.863,2
1.5298,-0.8238,2
0.7845,-0.863,2
0.6276,-0.5492,2
1.0199,-1.1376,2
0.6668,-0.863,2
1.1768,-1.4122,2
0.6668,-0.7061,2
0.7061,-1.0984,2
1.8436,-1.1376,2
0.6276,-1.2161,2
1.0199,-1.2553,2
0.8237,-1.1376,2
0.6668,-0.5884,2
1.216,-0.9807,2
0.863,-0.9415,2
0.7453,-0.7061,2
0.8237,-0.863,2
1.0983,-0.6277,2
1.1375,-0.4315,2
1.0591,-1.9221,2
0.7845,-0.9807,2
1.1375,-1.4122,2
1.4906,-0.9022,2
1.3337,-1.0984,2
0.863,-1.2945,2
0.9806,-1.0984,2
0.9022,-1.0984,2
0.5491,-1.4906,2
1.4121,-0.7061,2
0.5491,-0.7846,3
0.9414,-0.4315,3
0.5491,-0.7061,3
1.1768,-0.7061,3
0.8237,-0.5884,3
1.3337,-0.4707,3
0.5884,-0.9415,3
0.9806,-0.9415,3
0.4707,-0.7846,3
0.7845,-0.3531,3
0.7845,-0.7453,3
0.9806,-0.6277,3
0.9022,-0.9022,3
0.4315,-0.5884,3
0.7061,-1.8829,3
0.7061,-0.7453,3
0.7845,-0.7846,3
0.9806,-0.5884,3
0.4315,-0.9415,3
0.863,-0.7061,3
0.5491,-0.8238,3
0.6276,-0.4707,3
0.4707,-0.863,3
1.0199,-0.8238,3
0.4707,-0.8238,3
0.5491,-0.4315,3
0.3922,-0.6669,3
0.863,-0.9415,3
1.0199,-1.0984,3
0.7061,-1.1768,3
0.3922,-0.9807,3
0.2746,-1.0199,3
0.9022,-0.7061,3
0.7061,-1.2553,3
0.7061,-0.7061,3
0.4707,-0.9807,3
1.0983,-0.863,3
1.0199,-1.6475,3
0.6276,-0.7846,3
0.5099,-0.7846,3
0.863,-0.7846,3
0.7845,-1.0591,3
0.863,-0.5492,3
1.2552,-0.4707,3
0.6668,-0.51,3
0.353,-0.8238,3
0.7845,-0.7453,3
1.0199,-1.0984,3
0.8237,-0.7453,3
0.2746,-1.3337,3
0.3922,-0.6669,3
0.6276,-0.7846,3
0.8237,-1.2553,3
0.6668,-1.5299,3
0.9022,-0.3531,3
0.2353,-0.4707,3
0.9022,-0.51,3
1.3337,-1.0199,3
0.7061,-0.5884,3
0.7061,-0.9022,3
