MAX,MIN,STATUS
0.3923,-0.6668,1
0.1569,-0.5492,1
0.3138,-0.353,1
0.2746,-0.3923,1
0.2746,-0.353,1
0.1961,-0.2746,1
0.353,-0.5884,1
0.3923,-0.5492,1
0.2746,-0.6668,1
0.2746,-0.5492,1
0.3138,-0.5492,1
0.353,-0.4707,1
0.1569,-0.4707,1
0.3923,-0.4707,1
0.1961,-0.6276,1
0.353,-0.3138,1
0.353,-0.4707,1
0.2746,-0.8238,1
0.2354,-0.8238,1
0.2354,-0.7845,1
0.2354,-0.5884,1
0.1961,-0.4707,1
0.2746,-0.1961,1
0.353,-0.3923,1
0.1569,-0.5492,1
0.3923,-0.4707,1
0.2746,-0.6668,1
0.2354,-0.7845,1
0.2746,-0.5492,1
0.2354,-0.4707,1
0.1569,-0.3923,1
0.3138,-0.2746,1
0.4707,-0.5099,1
0.3138,-0.7061,1
0.2354,-0.5492,1
0.353,-0.5884,1
0.2354,-0.7453,1
0.4315,-0.5492,1
0.2354,-0.5492,1
0.2746,-0.2746,1
0.2354,-0.5492,1
0.2354,-0.6276,1
0.353,-0.7845,1
0.1569,-0.5099,1
0.1569,-0.4315,1
0.353,-0.3138,1
0.3923,-0.5099,1
0.2746,-0.5492,1
0.2746,-0.7061,1
0.1569,-0.3138,1
0.1569,-0.2746,1
0.2354,-0.2746,1
0.3138,-0.3138,1
0.4315,-0.5492,1
0.2354,-0.3923,1
0.51,-0.6276,1
0.4315,-0.7845,1
0.4707,-0.5884,1
0.2354,-0.2746,1
0.1569,-0.2354,1
1.5298,-1.4514,2
1.6083,-1.4122,2
1.6867,-1.6083,2
1.5298,-1.4514,2
1.5691,-1.5691,2
1.5298,-1.3729,2
1.5298,-1.0591,2
1.726,-1.1768,2
1.4122,-1.2945,2
1.6083,-1.4906,2
1.6083,-1.0984,2
1.5691,-1.1768,2
1.8829,-1.4122,2
1.3729,-1.9613,2
1.5298,-1.2945,2
1.5691,-1.3337,2
1.4514,-1.4906,2
1.2945,-1.216,2
1.5691,-1.5298,2
1.5691,-1.5298,2
1.6867,-1.4122,2
1.3729,-1.2945,2
1.6083,-1.8437,2
1.2552,-1.6083,2
1.726,-1.4122,2
1.6867,-1.6475,2
2.1967,-1.4514,2
1.6083,-1.4122,2
1.726,-1.216,2
1.6867,-1.4122,2
1.6475,-1.2553,2
1.5298,-1.3729,2
1.7652,-1.3337,2
1.6867,-1.5298,2
1.3729,-2.0006,2
1.4906,-1.5298,2
1.726,-1.6475,2
1.6083,-1.3729,2
1.5691,-1.4906,2
1.6867,-1.8437,2
1.6475,-1.1768,2
1.8436,-1.2945,2
1.7652,-1.3729,2
1.4906,-1.4906,2
1.6083,-1.6083,2
1.5691,-1.6083,2
1.5691,-1.216,2
1.4122,-1.6868,2
1.8829,-1.5298,2
1.8436,-1.2945,2
1.6475,-1.2553,2
1.4122,-1.3729,2
1.6475,-1.6083,2
1.6867,-1.2945,2
1.6475,-1.726,2
1.9613,-1.4122,2
1.6475,-1.3337,2
2.1967,-1.4514,2
1.5691,-1.1768,2
1.8044,-1.216,2
0.9806,-1.5691,3
0.5884,-0.8238,3
1.0983,-1.1768,3
1.0983,-1.6868,3
0.9414,-1.373,3
0.6668,-0.3138,3
1.0591,-1.4122,3
1.0983,-1.5299,3
0.7845,-1.2945,3
0.8237,-0.5492,3
1.0983,-1.4122,3
1.0591,-1.5691,3
0.7845,-1.1376,3
0.8237,-0.6669,3
1.2552,-1.5299,3
1.0199,-1.5299,3
0.7845,-0.9807,3
0.863,-0.6276,3
1.1376,-1.2945,3
1.0591,-1.5299,3
0.7845,-1.1376,3
0.5492,-0.3138,3
1.0983,-1.2945,3
1.0591,-1.5691,3
1.0983,-1.4514,3
0.5492,-0.5492,3
1.0591,-1.216,3
1.1376,-1.5299,3
0.7845,-1.4906,3
0.7453,-0.9807,3
0.9414,-0.4315,3
1.1768,-1.4122,3
1.1376,-1.5691,3
0.863,-1.4906,3
0.5884,-0.5492,3
1.2552,-0.8238,3
1.216,-1.4122,3
0.9806,-1.6083,3
0.8237,-1.0984,3
0.5884,-0.2746,3
1.0591,-0.9415,3
1.1376,-1.4906,3
0.9022,-1.5299,3
0.8237,-0.9807,3
0.5099,-0.2354,3
1.0199,-0.9415,3
1.0983,-1.4122,3
0.9806,-1.6083,3
0.9414,-1.4122,3
0.6276,-0.5492,3
0.7845,-0.6669,3
1.1376,-1.216,3
1.0591,-1.6868,3
0.9022,-1.4906,3
0.7845,-1.216,3
0.5099,-0.1962,3
1.0199,-0.7846,3
1.1376,-1.6868,3
1.0591,-1.6475,3
0.8237,-1.373,3
